Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-05-16 00:00:00-04:00,5354.4239827493575,5412.53260653145,5240.083267240452,5289.967792628406,3817470000,0.0,0.0
2024-05-20 00:00:00-04:00,5227.643122751859,5321.8748033318325,5240.69475213129,5380.539197453029,3420100000,0.0,0.0
2024-05-21 00:00:00-04:00,5375.0284473084475,5427.0014079135235,,5233.096849818257,3662240000,0.0,0.0
2024-05-22 00:00:00-04:00,5338.556621736668,5314.150639848329,5391.330900292947,5326.179458925914,3847130000,0.0,0.0
2024-05-23 00:00:00-04:00,5400.898027998637,,,5162.524481106126,3869520000,0.0,0.0
2024-05-24 00:00:00-04:00,5209.038029530508,,5284.985223978649,5331.155450108163,3005510000,0.0,0.0
2024-05-28 00:00:00-04:00,5406.691018780414,5322.205431519569,5187.861883587355,5360.636028357313,3751540000,0.0,0.0
2024-05-30 00:00:00-04:00,5305.514166094484,5338.752618167634,5175.726255985578,,3818750000,0.0,0.0
2024-05-31 00:00:00-04:00,5211.669171313133,5271.500219630432,5117.864870011221,5220.79153275337,5437160000,0.0,0.0
2024-06-03 00:00:00-04:00,5207.611958148114,,5254.509264632309,5212.892006083035,4046920000,0.0,0.0
2024-06-04 00:00:00-04:00,5366.836274496102,5213.838992470131,5322.900277994729,5228.910878715547,3707900000,0.0,0.0
2024-06-06 00:00:00-04:00,5332.249950750181,5437.124351581672,5258.717023756234,5357.114816924912,3609990000,0.0,0.0
2024-06-07 00:00:00-04:00,5313.570400754823,5332.9855799511215,5326.075876024352,5452.884664804982,3692760000,0.0,0.0
2024-06-11 00:00:00-04:00,5352.364931006489,5370.987128979241,5401.404056088524,5404.325856484595,3568030000,0.0,0.0
2024-06-12 00:00:00-04:00,,5496.103842097422,5327.139189612922,,3962840000,0.0,0.0
2024-06-13 00:00:00-04:00,5397.091186709296,5377.423570759142,5508.336204085717,5533.474720118261,3530380000,0.0,0.0
2024-06-14 00:00:00-04:00,5485.858052909339,5415.04388884052,5329.8361180904385,5491.838871446472,3438650000,0.0,0.0
2024-06-17 00:00:00-04:00,5389.340379116766,,5479.549353324226,5452.385324760691,3447840000,0.0,0.0
2024-06-18 00:00:00-04:00,5411.688954505164,5438.825119981572,5479.227893233953,5392.245613732176,3544330000,0.0,0.0
2024-06-20 00:00:00-04:00,5582.141410339826,5544.592349253671,5351.128827335849,5435.394083722518,3847060000,0.0,0.0
2024-06-21 00:00:00-04:00,5479.588435912734,5577.520564721439,5548.148444252721,5475.274663648314,6773800000,0.0,0.0
2024-06-24 00:00:00-04:00,5503.020882872675,5533.438938562042,5343.976543494381,5398.858282602271,3696750000,0.0,0.0
2024-06-25 00:00:00-04:00,5439.293706529047,,5540.130716390117,5560.389373573054,3591960000,0.0,0.0
2024-06-26 00:00:00-04:00,5442.324306880108,5438.91291168312,5472.347365118389,5541.6574331458405,3563920000,0.0,0.0
2024-06-28 00:00:00-04:00,5464.962790327991,5436.156108294308,5501.610126995531,5536.204716646168,7199220000,0.0,0.0
2024-07-01 00:00:00-04:00,5562.136983109807,,5485.228441094114,5486.000981243479,3488760000,0.0,0.0
2024-07-02 00:00:00-04:00,5402.610041222199,5607.408864131847,5362.265812903177,5543.959166190066,3329950000,0.0,0.0
2024-07-03 00:00:00-04:00,5440.684476821801,5597.774747794421,5460.27725343963,5471.3643896978365,2179470000,0.0,0.0
2024-07-05 00:00:00-04:00,5433.407122600778,,,5633.882736306539,3253080000,0.0,0.0
2024-07-08 00:00:00-04:00,5509.37935945514,5682.254870336611,,,3185670000,0.0,0.0
2024-07-09 00:00:00-04:00,5505.338203966425,5606.649584613053,5680.0298455416605,5577.990317727062,3232920000,0.0,0.0
2024-07-10 00:00:00-04:00,5688.544707473395,5746.86624122749,,5599.572274281851,3336100000,0.0,0.0
